,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,lighthouse_performance,first-contentful-paint_score,first-contentful-paint_numericValue,largest-contentful-paint_score,largest-contentful-paint_numericValue,speed-index_score,speed-index_numericValue,total-blocking-time_score,total-blocking-time_numericValue,cumulative-layout-shift_score,cumulative-layout-shift_numericValue,num_http2_responses,num_http3_responses
0,2021-11-14T03:49:13+00:00,https://www.vk.com/,3g,310,310,310,310,1378,1348,1196,1469,5622,5726,5509,6048,4578,4559,4471,4628,7004,6952,6812,7040,5596,5708,5494,6033,bandwidth,480Mbps,2,0.46,0,17007.2265,0,17157.2265,0,18257.46159,1,0,1,0,203,0
0,2021-11-14T03:41:27+00:00,https://www.facebook.com/,3g,258,258,258,258,432,430,398,461,802,797,779,810,611,601,579,612,2043,2042,1976,2107,797,787,759,805,bandwidth,480Mbps,2,0.77,0.26,3871.648,0.49,4021.648,0.83,3871.648,1,0,1,0,123,0
0,2021-11-14T03:46:34+00:00,https://www.instagram.com/,3g,323,323,323,323,279,303,276,353,712,737,711,789,332,349,324,391,2452,2403,2254,2504,711,736,710,788,bandwidth,480Mbps,2,0.7,0.89,1858.282,0.01,10215.592,0.99,2079.36856,1,0,0.94,0.08203125,102,0
0,2021-11-14T04:44:15+00:00,https://www.vk.com/,3g,310,310,310,310,1418,1526,1328,1831,5799,6074,5706,6718,4688,4886,4482,5488,6866,6897,6356,7470,5778,6054,5686,6699,bandwidth,800Mbps,2,0.46,0,16505.6205,0,16580.6205,0.01,16943.05859,1,0,1,0,204,0
0,2021-11-14T04:36:28+00:00,https://www.facebook.com/,3g,258,258,258,258,481,435,291,532,839,806,663,915,628,578,429,677,2076,2083,1949,2223,834,795,657,895,bandwidth,800Mbps,2,0.78,0.27,3809.64,0.51,3959.64,0.84,3809.64,1,0,1,0,123,0
0,2021-11-14T04:41:34+00:00,https://www.instagram.com/,3g,323,323,323,323,405,447,273,663,829,877,713,1088,441,496,333,715,2460,2509,2352,2716,828,876,712,1087,bandwidth,800Mbps,2,0.71,0.99,1084.419,0.01,10191.6,1,1540.216834,1,0,0.94,0.08203125,102,0
0,2021-11-14T04:30:37+00:00,https://www.vk.com/,3g,310,310,310,310,1413,1795,1378,2594,6159,6434,5719,7424,4728,5111,4712,5894,7021,7316,6846,8080,6143,6416,5703,7403,bandwidth,720Mbps,2,0.46,0,15789.4195,0,15864.4195,0.01,16553.2867,1,0,1,0,204,0
0,2021-11-14T04:22:36+00:00,https://www.facebook.com/,3g,258,258,258,258,340,396,333,514,717,760,692,870,495,545,478,661,1986,2042,1979,2161,698,750,687,866,bandwidth,720Mbps,2,0.78,0.28,3793.654,0.52,3943.654,0.84,3793.654,1,0,1,0.02756183624,123,0
0,2021-11-14T04:27:59+00:00,https://www.instagram.com/,3g,323,323,323,323,280,280,276,284,708,788,707,949,332,326,312,333,2405,2439,2380,2532,707,787,706,948,bandwidth,720Mbps,2,0.7,0.88,1865.6,0.01,10208.492,0.99,2060.135448,1,0,0.94,0.08203125,102,0
0,2021-11-14T02:55:18+00:00,https://www.vk.com/,3g,310,310,310,310,1358,1368,1302,1444,6094,5929,5490,6202,5014,4830,4415,5060,6775,6597,6178,6839,6078,5910,5475,6177,bandwidth,160Mbps,2,0.46,0,15822.412,0,15972.412,0.01,16845.18734,1,0,1,0,201,0
0,2021-11-14T02:47:32+00:00,https://www.facebook.com/,3g,258,258,258,258,396,405,378,440,733,747,732,775,544,554,525,594,1940,1985,1929,2086,726,741,726,770,bandwidth,160Mbps,2,0.78,0.27,3833.84,0.5,3983.84,0.84,3833.84,1,0,1,0.02756183624,123,0
0,2021-11-14T02:52:39+00:00,https://www.instagram.com/,3g,323,323,323,323,275,274,271,275,700,699,694,702,317,319,311,330,2282,2280,2269,2290,699,698,693,701,bandwidth,160Mbps,2,0.71,0.99,1086.613,0.01,10203.647,1,1586.455478,1,0,0.94,0.08203125,102,0
0,2021-11-14T03:35:43+00:00,https://www.vk.com/,3g,310,310,310,310,1383,1524,1351,1838,5593,5647,5520,5827,4645,4538,4310,4659,6555,6616,6479,6813,5573,5628,5500,5811,bandwidth,400Mbps,2,0.46,0,16124.905,0,16424.905,0,18632.36874,1,0,1,0,201,0
0,2021-11-14T03:27:59+00:00,https://www.facebook.com/,3g,258,258,258,258,373,353,301,385,717,688,629,718,528,500,444,528,1923,1917,1900,1929,704,681,625,713,bandwidth,400Mbps,2,0.76,0.24,3962.795,0.47,4112.795,0.82,3962.795,1,0,1,0,123,0
0,2021-11-14T03:33:05+00:00,https://www.instagram.com/,3g,323,323,323,323,291,443,274,764,712,872,707,1198,325,487,323,814,2345,2512,2269,2922,711,871,706,1197,bandwidth,400Mbps,2,0.7,0.89,1857.057,0.01,10236.723,0.99,2073.21633,1,0,0.94,0.08203125,102,0
0,2021-11-14T03:22:14+00:00,https://www.vk.com/,3g,310,310,310,310,1492,1554,1441,1728,5585,5646,5431,5921,4615,4601,4477,4712,6515,6577,6342,6875,5565,5626,5412,5901,bandwidth,320Mbps,2,0.46,0,16389.1915,0,16539.1915,0,17834.49694,1,0,1,0,201,0
0,2021-11-14T03:14:29+00:00,https://www.facebook.com/,3g,258,258,258,258,418,414,397,426,758,1092,701,1816,561,550,526,562,2064,2061,1943,2175,754,1082,696,1795,bandwidth,320Mbps,2,0.77,0.26,3895.039,0.49,4045.039,0.83,3895.039,1,0,1,0.02756183624,123,0
0,2021-11-14T03:19:36+00:00,https://www.instagram.com/,3g,323,323,323,323,292,411,290,652,719,837,714,1077,349,456,331,687,2295,2423,2269,2706,718,835,713,1075,bandwidth,320Mbps,2,0.71,0.95,1539.735,0.01,10200.191,1,1868.424398,1,0,0.94,0.08203125,102,0
0,2021-11-14T02:41:54+00:00,https://www.vk.com/,3g,310,310,310,310,1457,1425,1249,1570,5485,5671,5478,6049,4411,4587,4405,4946,6121,6266,6086,6592,5470,5653,5459,6029,bandwidth,80Mbps,2,0.46,0,16319.4255,0,16394.4255,0.01,16319.4255,1,0,1,0,201,0
0,2021-11-14T02:33:54+00:00,https://www.facebook.com/,3g,258,258,258,258,387,397,385,420,806,779,706,824,528,533,511,561,1931,1975,1930,2063,787,764,701,803,bandwidth,80Mbps,2,0.79,0.29,3726.086,0.53,3876.086,0.85,3726.086,1,0,1,0,123,0
0,2021-11-14T02:39:03+00:00,https://www.instagram.com/,3g,323,323,323,323,288,301,276,338,715,732,709,771,332,346,331,376,2282,2345,2257,2495,713,730,708,770,bandwidth,80Mbps,2,0.71,0.99,1088.333,0.01,10262.361,1,1412.216338,1,0,0.94,0.08203125,102,0
0,2021-11-14T03:08:41+00:00,https://www.vk.com/,3g,310,310,310,310,1715,1627,1444,1721,5690,5708,5594,5839,4565,4536,4454,4589,6238,6405,6133,6845,5671,5683,5553,5824,bandwidth,240Mbps,2,0.46,0,15693.593,0,15843.593,0.01,16470.9389,1,0,1,0,202,0
0,2021-11-14T03:00:56+00:00,https://www.facebook.com/,3g,258,258,258,258,365,344,297,371,708,700,681,712,510,495,462,513,1909,1896,1865,1915,700,689,662,704,bandwidth,240Mbps,2,0.78,0.27,3845.389,0.5,3995.389,0.84,3845.389,1,0,1,0.02756183624,123,0
0,2021-11-14T03:06:02+00:00,https://www.instagram.com/,3g,323,323,323,323,283,283,281,284,710,710,702,717,324,325,321,331,2244,2243,2221,2264,709,709,701,716,bandwidth,240Mbps,2,0.7,0.88,1863.894,0.01,10260.462,0.99,2085.093316,1,0,0.94,0.08203125,103,0
0,2021-11-14T04:02:56+00:00,https://www.vk.com/,3g,310,310,310,310,1732,1610,1147,1951,6212,5946,5409,6218,5094,4813,4234,5111,7165,7010,6478,7387,6192,5929,5394,6200,bandwidth,560Mbps,2,0.46,0,16584.891,0,16734.891,0,18436.7936,1,0,1,0,201,0
0,2021-11-14T03:54:55+00:00,https://www.facebook.com/,3g,258,258,258,258,354,365,341,401,740,720,675,746,526,521,495,543,1901,1913,1885,1952,727,711,669,737,bandwidth,560Mbps,2,0.76,0.25,3947.371,0.47,4097.371,0.82,3947.371,1,0,1,0.02756183624,124,0
0,2021-11-14T04:00:16+00:00,https://www.instagram.com/,3g,323,323,323,323,644,572,385,687,1075,1002,820,1112,698,615,422,725,2702,2630,2443,2744,1074,1001,819,1111,bandwidth,560Mbps,2,0.71,0.99,1248.107,0.01,10250.403,1,1751.532946,1,0,0.94,0.08203125,102,0
0,2021-11-14T04:16:32+00:00,https://www.vk.com/,3g,310,310,310,310,1353,1331,1198,1442,5592,5483,5157,5700,4541,4435,4010,4753,6368,6394,6021,6792,5553,5450,5140,5658,bandwidth,640Mbps,2,0.46,0,16868.276,0,17018.276,0.01,16868.276,1,0,1,0,201,0
