,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,lighthouse_performance,first-contentful-paint_score,first-contentful-paint_numericValue,largest-contentful-paint_score,largest-contentful-paint_numericValue,speed-index_score,speed-index_numericValue,total-blocking-time_score,total-blocking-time_numericValue,cumulative-layout-shift_score,cumulative-layout-shift_numericValue
0,2021-11-15T07:38:17+00:00,https://www.whatsapp.com/,3g,560,560,560,560,469,477,442,520,1126,1098,1031,1136,933,896,801,955,2356,2330,2263,2372,1115,1087,1019,1127,delay,600ms,2,0.83,0.62,2647.071,0.51,3967.397,0.97,2647.071,1,0,1,0.0137546658
0,2021-11-15T07:46:03+00:00,https://www.glassdoor.com/,3g,1144,1144,1144,1144,1458,1547,1277,1907,9018,9222,8330,10319,2349,2449,1878,3119,10879,11063,10273,12038,8890,9121,8246,10226,delay,600ms,2,0.15,0.28,3800.413,0,10751.5425,0.01,16065.17839,0,24325.932,0.82,0.1294411214
0,2021-11-15T07:34:19+00:00,https://www.canva.com/,3g,4254,4254,4254,4254,747,990,555,1667,5642,5615,4723,6479,1281,1540,1209,2131,5731,5797,5090,6570,5631,5605,4714,6470,delay,600ms,2,0.42,0.66,2537.392,0.59,3691.17,0.37,6695.278037,0.03,3114.5,1,0.001323025174
0,2021-11-15T07:17:05+00:00,https://www.whatsapp.com/,3g,560,560,560,560,491,496,461,535,1219,1190,1092,1260,947,929,864,976,2441,2411,2314,2477,1201,1172,1078,1238,delay,500ms,2,0.84,0.63,2627.51,0.52,3919.62,0.97,2627.51,1,0,1,0.0137546658
0,2021-11-15T07:25:35+00:00,https://www.glassdoor.com/,3g,1144,1144,1144,1145,1773,2008,1124,3126,7272,7934,6934,9595,2246,2512,1575,3716,9571,10074,9093,11558,7194,7842,6831,9501,delay,500ms,2,0.16,0.32,3609.525,0,10421.0625,0.01,14928.27037,0,20748.143,0.82,0.1285707601
0,2021-11-15T07:12:47+00:00,https://www.canva.com/,3g,4254,4258,4254,4266,607,589,543,617,4331,5322,4300,7336,1019,1187,1010,1533,4586,8123,4409,15373,4323,5312,4289,7325,delay,500ms,2,0.41,0.67,2527.854,0.56,3790.854,0.36,6762.892617,0.01,4344.6795,1,0.001323025174
0,2021-11-15T06:31:14+00:00,https://www.whatsapp.com/,3g,560,560,560,560,429,460,412,539,1089,1105,995,1232,778,835,773,954,3402,3107,2455,3463,1070,1090,983,1216,delay,300ms,2,0.83,0.63,2626.643,0.51,3968.961,0.97,2626.643,1,0,1,0.0137546658
0,2021-11-15T06:42:03+00:00,https://www.glassdoor.com/,3g,1144,1144,1144,1144,1207,1200,1091,1302,7911,8182,7729,8907,1819,1873,1725,2076,9617,9911,9452,10664,7806,8084,7624,8822,delay,300ms,2,0.16,0.27,3844.034,0.03,7889.691,0,17166.54693,0,24812.8,0.82,0.1294411214
0,2021-11-15T06:26:37+00:00,https://www.canva.com/,3g,4254,4254,4254,4254,634,612,543,659,5400,6031,5278,7416,1234,1248,1103,1406,13861,11609,5414,15553,5393,6018,5259,7402,delay,300ms,2,0.43,0.73,2360.987,0.68,3361.988,0.27,7530.233154,0.01,4910.898,1,0.0009662272135
0,2021-11-15T07:59:18+00:00,https://www.whatsapp.com/,3g,560,560,560,560,457,451,432,463,1006,1076,971,1250,830,857,803,939,2201,1718,492,2462,994,1060,958,1227,delay,700ms,2,0.83,0.63,2637.055,0.5,3983.866,0.97,2637.055,1,0,1,0.0137546658
