,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,lighthouse_performance,first-contentful-paint_score,first-contentful-paint_numericValue,largest-contentful-paint_score,largest-contentful-paint_numericValue,speed-index_score,speed-index_numericValue,total-blocking-time_score,total-blocking-time_numericValue,cumulative-layout-shift_score,cumulative-layout-shift_numericValue,num_http2_responses,num_http3_responses
0,2021-11-15T07:07:16+00:00,https://www.vk.com/,3g,310,310,310,310,1061,1068,1039,1103,5158,5149,5069,5220,4137,4146,4087,4215,5808,5817,5692,5952,5124,5102,4990,5193,packetLoss,0.90%,2,0.46,0,15819.259,0,15969.259,0.01,15819.259,1,0,1,0,202,0
0,2021-11-15T06:58:38+00:00,https://www.facebook.com/,3g,258,258,258,258,259,265,258,279,701,699,695,701,477,482,477,492,1916,1923,1910,1944,695,693,689,695,packetLoss,0.90%,2,0.79,0.29,3727.083,0.53,3877.083,0.85,3727.083,1,0,1,0.02756183624,123,0
0,2021-11-15T07:04:17+00:00,https://www.instagram.com/,3g,323,323,323,323,293,294,291,297,1059,1057,1051,1062,381,381,380,383,2513,2515,2513,2518,1058,1056,1049,1060,packetLoss,0.90%,2,0.71,0.95,1550.842,0.01,10046.417,0.99,2233.5213,1,0,0.94,0.08203125,102,0
0,2021-11-15T05:51:29+00:00,https://www.vk.com/,3g,310,310,310,310,1130,1122,1093,1142,5697,5619,5391,5770,4505,4469,4394,4507,6306,6218,6000,6347,5647,5584,5362,5744,packetLoss,0.15%,2,0.46,0,16221.296,0,16371.296,0.01,16221.296,1,0,1,0,201,0
0,2021-11-15T05:42:21+00:00,https://www.facebook.com/,3g,258,258,258,258,282,284,281,290,800,2454,760,5801,532,2196,500,5556,2001,3681,1964,7078,792,2445,751,5792,packetLoss,0.15%,2,0.79,0.29,3750.654,0.53,3900.654,0.85,3750.654,1,0,1,0.02756183624,123,0
0,2021-11-15T05:48:28+00:00,https://www.instagram.com/,3g,323,323,323,323,316,386,284,559,1287,1236,1045,1377,396,472,371,648,2754,2698,2501,2838,1285,1234,1043,1375,packetLoss,0.15%,2,0.7,0.89,1852.674,0.01,10029.143,0.98,2410.263328,1,0,0.94,0.08203125,102,0
0,2021-11-15T07:23:00+00:00,https://www.vk.com/,3g,310,310,310,310,1111,1128,1048,1225,5566,5528,5314,5705,4533,4442,4088,4706,6287,6184,5880,6385,5536,5491,5288,5649,packetLoss,1.05%,2,0.46,0,15993.809,0,16143.809,0.01,15993.809,1,0,1,0,202,0
0,2021-11-15T07:13:47+00:00,https://www.facebook.com/,3g,258,258,258,258,267,272,266,282,798,788,766,800,525,523,501,543,1989,2009,1963,2075,789,778,755,791,packetLoss,1.05%,2,0.79,0.29,3750.256,0.53,3900.256,0.85,3750.256,1,0,1,0.02756183624,123,0
0,2021-11-15T07:19:56+00:00,https://www.instagram.com/,3g,323,323,323,323,592,606,308,919,1416,1421,1084,1764,686,697,402,1003,2871,2882,2567,3209,1414,1419,1082,1762,packetLoss,1.05%,2,0.71,0.99,1133.455,0.01,10164.171,0.99,2166.985206,1,0,0.94,0.08203125,102,0
0,2021-11-15T05:35:46+00:00,https://www.vk.com/,3g,310,310,310,310,1126,1176,1114,1289,5417,5544,5391,5824,4408,4529,4388,4790,6074,6145,5979,6383,5387,5515,5364,5795,packetLoss,0%,2,0.46,0,15684.058,0,15909.058,0.01,15684.058,1,0,1,0,201,0
