,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,lighthouse_performance,first-contentful-paint_score,first-contentful-paint_numericValue,largest-contentful-paint_score,largest-contentful-paint_numericValue,speed-index_score,speed-index_numericValue,total-blocking-time_score,total-blocking-time_numericValue,cumulative-layout-shift_score,cumulative-layout-shift_numericValue
0,2021-11-22T16:25:31+00:00,https://www.instagram.com/,3g,323,323,323,323,287,296,279,322,957,947,914,969,361,369,353,394,2396,2386,2361,2401,955,945,913,967,bandwidth,160Mbps,2,0.7,0.89,1853.33,0.01,10036.477,0.99,2186.776136,1,0,0.94,0.08203125
0,2021-11-22T16:28:22+00:00,https://www.vk.com/,3g,310,310,310,310,1280,1222,1097,1289,4963,5007,4648,5411,3944,4022,3744,4378,5563,5586,5217,5979,4935,4975,4602,5387,bandwidth,160Mbps,2,0.46,0,15473.5945,0,15473.5945,0.01,15473.5945,1,0,1,0
0,2021-11-22T16:19:47+00:00,https://www.facebook.com/,3g,264,264,264,264,276,267,247,277,722,709,676,728,491,476,444,492,1904,1891,1838,1931,716,702,668,722,bandwidth,160Mbps,2,0.79,0.3,3710.167,0.54,3860.167,0.86,3710.167,1,0,1,0.02756183624
0,2021-11-22T16:22:29+00:00,https://www.youtube.com/,3g,8857,8860,8847,8875,55,62,50,82,2869,4369,2724,7515,262,1920,253,5244,3931,5720,3832,9397,2866,4367,2722,7514,bandwidth,160Mbps,2,0.51,0.14,4618.622,0.02,8850.503,0.65,4910.067076,0.76,323.5,1,0.006707763672
0,2021-11-22T16:17:09+00:00,https://www.google.com/,3g,210,210,210,211,132,150,123,196,549,548,498,597,258,276,244,325,678,687,650,733,542,542,493,591,bandwidth,160Mbps,2,0.8,0.89,1848.262,0.98,1848.262,0.97,2659.437947,0.48,625.5,0.99,0.04221191406
0,2021-11-22T18:19:44+00:00,https://www.instagram.com/,3g,323,323,323,323,275,393,267,636,947,1034,893,1263,351,466,346,700,2388,2478,2338,2707,945,1032,891,1261,bandwidth,800Mbps,2,0.71,0.95,1540.611,0.01,10181.411,1,1952.10883,1,0,0.94,0.08203125
0,2021-11-22T18:22:34+00:00,https://www.vk.com/,3g,310,310,310,310,1284,1266,1214,1299,5083,5091,4933,5256,4076,4099,3960,4260,5821,5723,5473,5876,5060,5065,4901,5234,bandwidth,800Mbps,2,0.46,0,15090.7815,0,15245.609,0.01,15090.7815,1,0,1,0
0,2021-11-22T18:14:09+00:00,https://www.facebook.com/,3g,264,264,264,264,273,276,272,284,747,785,718,889,534,562,502,650,1934,1969,1919,2054,741,778,711,883,bandwidth,800Mbps,2,0.79,0.3,3710.145,0.54,3860.145,0.86,3710.145,1,0,1,0.02756183624
0,2021-11-22T18:16:48+00:00,https://www.youtube.com/,3g,8840,8849,8828,8879,58,59,53,65,2675,2660,2558,2747,245,250,244,260,3645,3707,3567,3910,2673,2658,2557,2745,bandwidth,800Mbps,2,0.42,0.16,4448.037,0.02,8278.373,0.52,5670.2837,0.53,561.992,1,0.01672668457
0,2021-11-22T18:11:39+00:00,https://www.google.com/,3g,210,210,210,211,106,106,96,117,498,500,464,537,220,224,217,234,632,643,613,683,492,494,459,531,bandwidth,800Mbps,2,0.79,0.89,1847.164,0.98,1847.164,0.98,2473.818018,0.45,670.5,0.99,0.04221191406
0,2021-11-22T16:40:00+00:00,https://www.instagram.com/,3g,323,323,323,323,294,401,274,636,947,1044,875,1309,367,479,356,715,2395,2484,2319,2738,946,1042,873,1307,bandwidth,240Mbps,2,0.7,0.89,1858.695,0.01,10042.796,0.99,2251.584842,1,0,0.94,0.08203125
0,2021-11-22T16:42:54+00:00,https://www.vk.com/,3g,310,283,228,310,1091,1076,1042,1096,4941,4968,4915,5047,3976,3955,3769,4119,5499,5417,5139,5612,4915,4939,4899,5004,bandwidth,240Mbps,2,0.46,0,14900.2855,0,15139.539,0.01,14900.2855,1,0,1,0
0,2021-11-22T16:34:26+00:00,https://www.facebook.com/,3g,264,264,264,264,272,271,259,283,702,709,698,727,477,482,476,494,1914,1915,1909,1921,696,703,692,720,bandwidth,240Mbps,2,0.79,0.29,3735.978,0.53,3885.978,0.85,3735.978,1,0,1,0.02756183624
0,2021-11-22T16:37:06+00:00,https://www.youtube.com/,3g,8838,8835,8799,8869,55,56,53,59,2602,2606,2588,2628,244,245,228,262,3692,3693,3688,3700,2600,2604,2587,2625,bandwidth,240Mbps,2,0.51,0.18,4318.679,0.02,8639.3045,0.66,4888.813246,0.74,349.5,1,0
0,2021-11-22T16:31:45+00:00,https://www.google.com/,3g,210,206,198,210,124,127,122,135,540,542,533,553,262,267,261,277,655,669,653,698,534,536,528,547,bandwidth,240Mbps,2,0.81,0.89,1849.303,0.98,1849.303,0.97,2669.07588,0.51,587.5,0.99,0.04221191406
0,2021-11-22T17:37:11+00:00,https://www.instagram.com/,3g,323,324,323,325,681,555,276,707,1362,1233,945,1393,808,667,340,853,2794,2676,2399,2835,1361,1232,943,1391,bandwidth,560Mbps,2,0.7,0.89,1850.119,0.01,9996.166,0.99,2269.227006,1,0,0.94,0.08203125
0,2021-11-22T17:39:59+00:00,https://www.vk.com/,3g,310,281,222,310,1272,1228,1134,1278,5106,4979,4706,5125,3925,3952,3840,4092,5665,5431,4928,5701,5082,4962,4704,5101,bandwidth,560Mbps,2,0.46,0,14917.8175,0,15075.907,0.01,14917.8175,1,0,1,0
0,2021-11-22T17:31:42+00:00,https://www.facebook.com/,3g,264,264,264,264,283,311,261,389,801,774,700,821,567,545,478,589,1997,1961,1881,2004,795,768,693,815,bandwidth,560Mbps,2,0.79,0.29,3735.058,0.53,3885.058,0.85,3735.058,1,0,1,0.02756183624
0,2021-11-22T17:34:20+00:00,https://www.youtube.com/,3g,8847,8537,7861,8903,69,66,54,75,2603,2511,2283,2648,250,255,235,280,4154,4046,3702,4281,2601,2509,2281,2645,bandwidth,560Mbps,2,0.46,0.13,4686.243,0.02,8224.5755,0.69,4686.243,0.59,494.585,1,0.02343444824
0,2021-11-22T17:29:10+00:00,https://www.google.com/,3g,210,210,210,210,99,98,95,99,484,491,478,511,215,211,200,218,616,624,609,646,477,485,472,505,bandwidth,560Mbps,2,0.79,0.89,1845.889,0.98,1845.889,0.98,2494.364182,0.46,649,0.99,0.04221191406
0,2021-11-22T16:54:27+00:00,https://www.instagram.com/,3g,323,324,323,325,289,498,287,919,963,1151,912,1577,351,567,345,1004,2404,2600,2359,3036,961,1149,910,1575,bandwidth,320Mbps,2,0.71,0.95,1541.267,0.01,10047.732,0.99,2055.109562,1,0,0.94,0.08203125
0,2021-11-22T16:57:17+00:00,https://www.vk.com/,3g,310,327,310,360,1107,1153,1077,1276,4966,4980,4936,5039,3925,3915,3743,4077,5597,5640,5535,5787,4942,4947,4897,5001,bandwidth,320Mbps,2,0.46,0,15021.434,0,15262.559,0.01,15021.434,1,0,1,0
0,2021-11-22T16:48:46+00:00,https://www.facebook.com/,3g,264,264,264,264,255,259,254,269,701,695,681,704,469,469,462,477,1873,1871,1854,1886,695,689,674,698,bandwidth,320Mbps,2,0.79,0.3,3698.598,0.54,3848.598,0.86,3698.598,1,0,1,0.02756183624
0,2021-11-22T16:51:26+00:00,https://www.youtube.com/,3g,8838,8835,8823,8845,50,50,48,52,2609,2660,2583,2789,263,262,243,279,3647,3740,3634,3938,2606,2658,2581,2787,bandwidth,320Mbps,2,0.48,0.14,4606.078,0.03,8124.478,0.6,5203.096453,0.67,414.05,1,0.01672668457
0,2021-11-22T16:46:13+00:00,https://www.google.com/,3g,211,211,210,211,112,150,78,259,501,554,495,667,260,292,210,407,642,683,621,785,495,549,490,661,bandwidth,320Mbps,2,0.81,0.89,1848.691,0.98,1848.691,0.97,2696.576929,0.51,588.5,0.99,0.04221191406
0,2021-11-22T17:08:42+00:00,https://www.instagram.com/,3g,323,323,323,323,272,273,267,279,892,902,886,929,337,343,332,359,2339,2344,2334,2358,890,901,885,928,bandwidth,400Mbps,2,0.7,0.89,1850.743,0.01,10024.933,0.99,2270.719454,1,0,0.94,0.08203125
0,2021-11-22T17:11:31+00:00,https://www.vk.com/,3g,310,283,228,310,1134,1179,1100,1303,5095,5109,4890,5341,4006,3986,3877,4074,5570,5565,5443,5683,5071,5093,4866,5341,bandwidth,400Mbps,2,0.46,0,15049.074,0,15253.164,0.01,15049.074,1,0,1,0
0,2021-11-22T17:03:07+00:00,https://www.facebook.com/,3g,264,264,264,264,253,255,245,266,700,759,684,894,478,503,460,572,1870,1907,1865,1987,694,753,677,887,bandwidth,400Mbps,2,0.79,0.3,3703.089,0.54,3853.089,0.86,3703.089,1,0,1,0.02756183624
0,2021-11-22T17:05:48+00:00,https://www.youtube.com/,3g,8847,8848,8837,8860,59,60,53,67,2656,2713,2543,2939,244,244,244,245,3771,4186,3565,5222,2655,2711,2541,2937,bandwidth,400Mbps,2,0.49,0.14,4636.024,0.02,8853.9675,0.68,4747.037307,0.69,393,1,0.01672668457
0,2021-11-22T17:00:34+00:00,https://www.google.com/,3g,210,210,210,211,117,104,70,124,510,486,434,514,258,231,177,259,645,622,565,656,503,480,428,508,bandwidth,400Mbps,2,0.79,0.89,1844.359,0.98,1844.359,0.98,2545.345152,0.46,653,0.99,0.04221191406
0,2021-11-22T18:05:20+00:00,https://www.instagram.com/,3g,323,323,323,323,640,642,293,993,1308,1340,990,1721,722,772,423,1172,2909,2935,2729,3166,1306,1338,988,1720,bandwidth,720Mbps,2,0.7,0.89,1849.731,0.01,10022.543,0.99,2150.939742,1,0,0.94,0.08203125
