,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,lighthouse_performance,first-contentful-paint_score,first-contentful-paint_numericValue,largest-contentful-paint_score,largest-contentful-paint_numericValue,speed-index_score,speed-index_numericValue,total-blocking-time_score,total-blocking-time_numericValue,cumulative-layout-shift_score,cumulative-layout-shift_numericValue
0,2021-11-21T19:13:13+00:00,https://www.instagram.com/,3g,323,261,137,323,267,389,260,641,878,884,517,1257,335,460,329,717,2339,1934,759,2703,877,882,515,1255,delay,0ms,2,0.71,0.95,1545.703,0.01,10044.468,0.99,2034.434714,1,0,0.94,0.08203125
0,2021-11-21T19:16:02+00:00,https://www.vk.com/,3g,228,255,228,310,1283,1271,1239,1292,5363,5330,5165,5462,4332,4334,4212,4458,5686,5662,5570,5731,5362,5322,5142,5462,delay,0ms,2,0.46,0,15106.871,0,15269.6195,0.01,15106.871,1,0,1,0
0,2021-11-21T19:07:35+00:00,https://www.facebook.com/,3g,264,264,264,264,272,267,253,276,706,698,679,710,478,473,463,479,1881,1868,1839,1883,700,692,673,704,delay,0ms,2,0.79,0.29,3728.902,0.53,3878.902,0.85,3728.902,1,0,1,0.02756183624
0,2021-11-21T19:10:17+00:00,https://www.youtube.com/,3g,8790,8794,8782,8809,53,54,49,60,2639,2644,2581,2713,253,248,228,262,3698,3687,3612,3752,2637,2642,2578,2710,delay,0ms,2,0.42,0.14,4614.1,0.02,8236.385,0.44,6204.243763,0.56,527,1,0.01672668457
0,2021-11-21T19:04:53+00:00,https://www.google.com/,3g,210,210,210,210,71,70,66,73,433,1014,428,2182,178,183,177,194,570,1121,568,2225,428,1003,422,2159,delay,0ms,2,0.79,0.89,1845.509,0.97,2000.494,0.97,2613.361445,0.45,662.83,0.99,0.04221191406
0,2021-11-21T19:27:38+00:00,https://www.instagram.com/,3g,323,323,323,323,683,4200,405,11512,1352,4837,1020,12138,745,4272,484,11586,2784,9520,2444,23333,1350,4834,1016,12136,delay,100ms,2,0.7,0.89,1850.211,0.01,10015.126,0.99,2301.948498,1,0,0.94,0.08203125
0,2021-11-21T19:30:49+00:00,https://www.vk.com/,3g,310,283,228,310,1067,1065,1032,1096,5160,6385,4854,9142,3940,3999,3863,4194,5400,6828,5382,9701,5159,6353,4831,9070,delay,100ms,2,0.46,0,15363.602,0,15363.602,0.01,15363.602,1,0,1,0
0,2021-11-21T19:21:58+00:00,https://www.facebook.com/,3g,264,264,264,264,260,263,257,273,696,692,682,698,475,472,462,478,1889,1893,1883,1907,689,686,676,692,delay,100ms,2,0.79,0.3,3710.285,0.54,3860.285,0.86,3710.285,1,0,1,0.02756183624
0,2021-11-21T19:24:42+00:00,https://www.youtube.com/,3g,8827,8822,8798,8841,57,56,48,62,2574,2566,2542,2582,228,239,228,261,3625,3621,3571,3666,2572,2564,2540,2580,delay,100ms,2,0.45,0.14,4614.844,0.02,8850.084,0.69,4727.008458,0.56,527.21,1,0.01672668457
0,2021-11-21T19:19:24+00:00,https://www.google.com/,3g,211,211,211,211,70,71,66,78,444,453,444,470,179,182,176,192,576,579,573,587,439,447,438,464,delay,100ms,2,0.74,0.88,1879.525,0.97,2034.564,0.96,2759.189918,0.32,899,0.99,0.04221191406
0,2021-11-21T20:11:31+00:00,https://www.instagram.com/,3g,323,323,323,323,264,267,258,278,880,889,871,917,339,341,329,354,2311,2323,2308,2350,878,887,869,915,delay,400ms,2,0.7,0.89,1847.311,0.01,10004.7,0.99,2257.435962,1,0,0.94,0.08203125
0,2021-11-21T20:14:35+00:00,https://www.vk.com/,3g,310,281,222,310,1066,1128,1030,1288,5634,5390,4866,5669,4594,4394,3875,4713,5854,5832,5419,6222,5625,5367,4843,5633,delay,400ms,2,0.46,0,14781.0105,0,15014.844,0.01,14781.0105,1,0,1,0
0,2021-11-21T20:05:48+00:00,https://www.facebook.com/,3g,264,264,264,264,275,272,265,277,702,698,682,709,477,472,460,479,1883,1922,1845,2039,696,691,675,703,delay,400ms,2,0.79,0.3,3710.938,0.52,3935.938,0.86,3710.938,1,0,1,0.02756183624
0,2021-11-21T20:08:32+00:00,https://www.youtube.com/,3g,8739,8743,8719,8770,54,56,50,63,2581,2577,2523,2626,242,245,229,264,3747,3980,3661,4533,2580,2575,2521,2624,delay,400ms,2,0.48,0.16,4471.288,0.04,7632.21,0.65,4927.050295,0.63,446.9755,1,0.01672668457
0,2021-11-21T20:03:14+00:00,https://www.google.com/,3g,210,210,210,211,71,69,64,72,481,472,455,481,179,188,177,209,603,605,593,618,475,467,450,476,delay,400ms,2,0.77,0.87,1928.5125,0.97,2006.001,0.97,2630.040697,0.42,719.5,0.99,0.04221191406
0,2021-11-21T20:40:51+00:00,https://www.instagram.com/,3g,323,323,323,323,266,378,260,607,914,1013,899,1226,332,442,327,667,2340,2438,2331,2644,912,1012,898,1225,delay,600ms,2,0.7,0.89,1843.491,0.01,10003.742,0.99,2208.161518,1,0,0.94,0.08203125
0,2021-11-21T20:43:45+00:00,https://www.vk.com/,3g,310,310,310,310,1088,1173,1065,1367,5066,5209,4882,5679,4053,4171,3917,4544,5624,5774,5453,6246,5043,5186,4858,5656,delay,600ms,2,0.46,0,15845.8495,0,15845.8495,0.01,15845.8495,1,0,1,0
0,2021-11-21T20:35:13+00:00,https://www.facebook.com/,3g,264,264,264,264,275,274,269,277,705,702,693,707,477,476,472,479,1968,1958,1853,2053,698,695,687,701,delay,600ms,2,0.79,0.3,3707.092,0.54,3857.092,0.86,3707.092,1,0,1,0
0,2021-11-21T20:37:54+00:00,https://www.youtube.com/,3g,8832,8825,8803,8841,54,53,50,56,2616,2617,2578,2656,245,245,243,247,3670,3694,3646,3765,2614,2615,2576,2655,delay,600ms,2,0.4,0.15,4516.68,0.02,8629.32,0.57,5365.551054,0.43,697.041,1,0.01672668457
0,2021-11-21T20:32:40+00:00,https://www.google.com/,3g,210,210,210,210,67,69,64,76,459,465,445,490,189,187,177,195,596,609,582,648,453,459,440,485,delay,600ms,2,0.78,0.89,1846.794,0.98,1846.794,0.97,2620.327407,0.42,708.2755,0.99,0.04221191406
0,2021-11-21T21:38:52+00:00,https://www.instagram.com/,3g,323,323,323,323,267,276,260,302,889,896,873,925,348,348,334,363,2343,2355,2337,2385,888,895,872,924,delay,1000ms,2,0.71,0.95,1552.012,0.01,10046.047,0.99,2045.096496,1,0,0.94,0.08203125
0,2021-11-21T21:41:42+00:00,https://www.vk.com/,3g,310,310,310,310,1042,1055,1030,1093,5136,5103,4864,5310,4165,4118,3878,4311,5704,5874,5659,6259,5112,5079,4841,5285,delay,1000ms,2,0.46,0,14820.6095,0,15059.499,0.01,14820.6095,1,0,1,0
0,2021-11-21T21:33:08+00:00,https://www.facebook.com/,3g,264,264,264,264,266,269,259,282,712,715,711,722,477,488,477,509,1877,1894,1872,1932,705,708,705,714,delay,1000ms,2,0.8,0.31,3669.015,0.55,3819.015,0.86,3669.015,1,0,1,0.02756183624
0,2021-11-21T21:35:50+00:00,https://www.youtube.com/,3g,8830,8826,8818,8831,51,52,50,54,2620,2604,2564,2629,229,245,228,279,3686,3920,3652,4423,2618,2602,2561,2628,delay,1000ms,2,0.47,0.16,4463.685,0.02,8400.016,0.59,5262.209858,0.63,453.598,1,0
0,2021-11-21T21:30:34+00:00,https://www.google.com/,3g,210,210,210,210,70,70,63,78,445,452,437,474,178,181,178,186,595,589,573,599,440,447,432,469,delay,1000ms,2,0.78,0.89,1845.879,0.98,1845.879,0.97,2619.873529,0.42,710.5915,0.99,0.04221191406
0,2021-11-21T21:24:20+00:00,https://www.instagram.com/,3g,323,323,323,323,275,397,268,649,894,1043,894,1340,351,466,331,715,2328,2509,2323,2875,893,1041,893,1338,delay,900ms,2,0.7,0.89,1848.893,0,10818.268,0.99,2277.061302,1,0,0.94,0.08203125
0,2021-11-21T21:27:11+00:00,https://www.vk.com/,3g,310,283,228,310,1067,1061,1027,1090,5207,5222,4854,5606,4043,4120,3690,4628,5433,5670,5414,6162,5206,5206,4830,5583,delay,900ms,2,0.47,0,12968.965,0,13125.612,0.03,12968.965,1,0,1,0
0,2021-11-21T21:18:43+00:00,https://www.facebook.com/,3g,264,264,264,264,280,280,271,288,705,703,682,723,495,489,477,496,1886,1876,1850,1893,698,696,674,716,delay,900ms,2,0.79,0.3,3696.013,0.54,3846.013,0.86,3696.013,1,0,1,0.02756183624
0,2021-11-21T21:21:23+00:00,https://www.youtube.com/,3g,8811,8801,8779,8814,60,59,54,64,2668,2787,2603,3089,254,251,244,256,3660,3799,3599,4137,2665,2784,2600,3088,delay,900ms,2,0.47,0.16,4469.785,0.03,7896.5075,0.61,5174.821248,0.64,438.7175,1,0.01672668457
0,2021-11-21T21:16:08+00:00,https://www.google.com/,3g,210,210,210,211,67,70,66,77,460,468,446,497,177,182,176,194,599,612,586,650,451,460,438,490,delay,900ms,2,0.78,0.89,1851.035,0.98,1851.035,0.96,2805.380911,0.43,696.799,0.99,0.04221191406
0,2021-11-21T19:57:02+00:00,https://www.instagram.com/,3g,323,324,323,325,292,281,257,294,910,910,902,919,360,357,334,376,2338,2341,2333,2352,908,909,901,918,delay,300ms,2,0.7,0.89,1850.979,0.01,10015.523,0.98,2470.022406,1,0,0.94,0.08203125
0,2021-11-21T19:59:54+00:00,https://www.vk.com/,3g,228,253,222,310,1231,1210,1105,1295,4773,4818,4764,4916,3836,3863,3778,3976,5136,5151,4981,5335,4763,4803,4730,4915,delay,300ms,2,0.46,0,14815.7275,0,15063.487,0.01,14815.7275,1,0,1,0
0,2021-11-21T19:51:24+00:00,https://www.facebook.com/,3g,264,264,264,264,279,281,274,290,709,712,701,726,494,494,479,510,1905,1898,1883,1905,703,705,694,718,delay,300ms,2,0.79,0.3,3695.614,0.54,3845.614,0.86,3695.614,1,0,1,0.02756183624
0,2021-11-21T19:54:06+00:00,https://www.youtube.com/,3g,8827,8826,8820,8831,69,63,47,72,2593,2606,2589,2637,243,237,209,259,3647,3627,3572,3661,2588,2602,2583,2635,delay,300ms,2,0.47,0.15,4549.057,0.04,7746.807,0.59,5246.063808,0.63,453.5,1,0.01672668457
0,2021-11-21T19:48:49+00:00,https://www.google.com/,3g,210,210,210,210,76,76,68,83,459,465,456,480,189,187,178,195,590,594,584,609,453,459,451,473,delay,300ms,2,0.77,0.89,1845.228,0.98,1845.228,0.98,2494.939203,0.4,745.287,0.99,0.04221191406
0,2021-11-21T19:42:27+00:00,https://www.instagram.com/,3g,323,323,323,323,270,388,266,629,904,1016,879,1265,357,464,335,699,2336,2447,2308,2696,902,1014,877,1264,delay,200ms,2,0.71,0.95,1542.359,0.01,10030.399,0.99,2298.301966,1,0,0.94,0.08203125
0,2021-11-21T19:45:28+00:00,https://www.vk.com/,3g,310,310,310,310,1102,2739,1041,6073,5885,7137,4804,10722,4056,5530,3810,8725,6434,7737,5428,11349,5843,7105,4775,10698,delay,200ms,2,0.46,0,14880.512,0,14985.722,0.01,14880.512,1,0,1,0
0,2021-11-21T19:36:49+00:00,https://www.facebook.com/,3g,264,264,264,264,278,279,275,283,701,707,695,724,477,482,473,496,1868,1870,1858,1885,694,700,688,717,delay,200ms,2,0.79,0.3,3692.875,0.54,3842.875,0.86,3692.875,1,0,1,0.02756183624
0,2021-11-21T19:39:31+00:00,https://www.youtube.com/,3g,8811,8810,8800,8819,49,49,47,52,2583,2595,2576,2627,244,239,229,244,3654,3659,3578,3746,2582,2593,2574,2624,delay,200ms,2,0.36,0.16,4470.568,0.01,8926.7485,0.49,5837.495538,0.35,830.9815,1,0.006707763672
