,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,lighthouse_performance,first-contentful-paint_score,first-contentful-paint_numericValue,largest-contentful-paint_score,largest-contentful-paint_numericValue,speed-index_score,speed-index_numericValue,total-blocking-time_score,total-blocking-time_numericValue,cumulative-layout-shift_score,cumulative-layout-shift_numericValue
0,2021-11-22T06:36:40+00:00,https://www.instagram.com/,3g,323,323,323,323,301,409,288,638,1007,1077,933,1291,440,505,348,727,2447,2521,2381,2736,1004,1075,932,1290,packetLoss,0.15%,2,0.7,0.89,1851.274,0.01,10026.842,0.99,2196.684536,1,0,0.94,0.08203125
0,2021-11-22T06:39:32+00:00,https://www.vk.com/,3g,310,281,222,310,1119,1149,1093,1236,5269,5218,4773,5612,4277,4265,3746,4773,5833,5693,5338,5907,5238,5194,4735,5610,packetLoss,0.15%,2,0.46,0,14939.217,0,15090.612,0.01,14939.217,1,0,1,0
0,2021-11-22T06:31:06+00:00,https://www.facebook.com/,3g,264,264,264,264,349,353,295,414,783,808,737,904,561,576,500,667,2040,2036,1945,2124,776,801,730,898,packetLoss,0.15%,2,0.79,0.3,3681.729,0.55,3831.729,0.86,3681.729,1,0,1,0.02756183624
0,2021-11-22T06:33:46+00:00,https://www.youtube.com/,3g,8809,8792,8747,8821,59,60,55,65,2714,2722,2700,2751,251,255,235,279,3865,3886,3849,3945,2713,2720,2698,2749,packetLoss,0.15%,2,0.49,0.17,4375.05,0.03,8152.975,0.75,4375.05,0.66,425.5,0.99,0.04016113281
0,2021-11-22T06:28:26+00:00,https://www.google.com/,3g,210,210,210,210,397,396,383,407,862,917,815,1073,595,665,574,827,1202,1338,1143,1669,856,911,809,1068,packetLoss,0.15%,2,0.77,0.89,1846.431,0.98,1846.431,0.92,3213.221029,0.42,720,0.99,0.04221191406
0,2021-11-22T06:51:17+00:00,https://www.instagram.com/,3g,323,323,323,323,364,432,294,639,1001,1081,942,1300,442,512,372,722,2439,2528,2397,2749,1000,1079,940,1298,packetLoss,0.30%,2,0.7,0.88,1860.908,0.01,10088.416,0.99,2211.364052,1,0,0.94,0.08203125
0,2021-11-22T06:54:11+00:00,https://www.vk.com/,3g,228,253,222,310,1096,1154,1086,1281,5270,5237,5123,5317,4359,4281,4112,4373,5538,5612,5497,5802,5269,5226,5094,5316,packetLoss,0.30%,2,0.46,0,15144.49,0,15279.075,0.01,15144.49,1,0,1,0
0,2021-11-22T06:45:37+00:00,https://www.facebook.com/,3g,264,264,264,264,265,324,260,447,703,759,695,879,478,529,460,650,1897,1951,1877,2078,696,752,689,872,packetLoss,0.30%,2,0.79,0.29,3738.368,0.53,3888.368,0.85,3738.368,1,0,1,0.02756183624
0,2021-11-22T06:48:21+00:00,https://www.youtube.com/,3g,8839,8836,8829,8840,58,57,51,61,2657,3515,2608,5281,245,244,227,261,4414,4512,3759,5364,2656,3513,2607,5275,packetLoss,0.30%,2,0.48,0.16,4457.329,0.04,7747.534,0.59,5275.175554,0.65,433.5,1,0.01672668457
0,2021-11-22T06:42:57+00:00,https://www.google.com/,3g,210,210,210,211,391,368,320,392,867,934,845,1089,626,678,579,828,1185,1341,1157,1681,861,928,840,1083,packetLoss,0.30%,2,0.78,0.89,1850.862,0.98,1850.862,0.92,3193.344038,0.45,675,0.99,0.04221191406
