,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,lighthouse_performance,first-contentful-paint_score,first-contentful-paint_numericValue,largest-contentful-paint_score,largest-contentful-paint_numericValue,speed-index_score,speed-index_numericValue,total-blocking-time_score,total-blocking-time_numericValue,cumulative-layout-shift_score,cumulative-layout-shift_numericValue
0,2021-11-15T06:56:02+00:00,https://www.google.com/,3g,215,215,215,215,326,245,73,335,736,715,453,956,474,447,193,675,1022,1010,628,1380,730,709,447,950,packetLoss,.90%,2,0.78,0.9,1811.2439999999997,0.98,1811.2439999999997,0.97,2701.58069347792,0.43,696.5,0.99,0.04776611328125
0,2021-11-15T07:07:16+00:00,https://www.vk.com/,3g,310,310,310,310,1061,1068,1039,1103,5158,5149,5069,5220,4137,4146,4087,4215,5808,5817,5692,5952,5124,5102,4990,5193,packetLoss,.90%,2,0.46,0,15819.259000000002,0,15969.259000000004,0.01,15819.259000000002,1,0,1,0
0,2021-11-15T06:58:38+00:00,https://www.facebook.com/,3g,258,258,258,258,259,265,258,279,701,699,695,701,477,482,477,492,1916,1923,1910,1944,695,693,689,695,packetLoss,.90%,2,0.79,0.29,3727.0829999999996,0.53,3877.0829999999996,0.85,3727.0829999999996,1,0,1,0.02756183624267578
0,2021-11-15T07:01:17+00:00,https://www.youtube.com/,3g,9219,9248,9212,9314,66,63,55,68,2728,2740,2726,2765,249,252,231,276,3827,3779,3672,3837,2725,2737,2724,2763,packetLoss,.90%,2,0.44,0.17,4378.248,0.01,8958.630000000001,0.53,5603.146457988246,0.6,482.7939999999994,1,0
0,2021-11-15T07:04:17+00:00,https://www.instagram.com/,3g,323,323,323,323,293,294,291,297,1059,1057,1051,1062,381,381,380,383,2513,2515,2513,2518,1058,1056,1049,1060,packetLoss,.90%,2,0.71,0.95,1550.8419999999999,0.01,10046.417,0.99,2233.521299991551,1,0,0.94,0.08203125
0,2021-11-15T05:39:30+00:00,https://www.google.com/,3g,215,215,215,215,321,394,315,545,1028,1096,782,1479,492,549,474,682,1389,1417,1080,1782,1021,1086,774,1464,packetLoss,.15%,2,0.76,0.9,1811.073,0.98,1811.073,0.95,2919.3918663352206,0.37,799.9999999999998,0.99,0.04776611328125
0,2021-11-15T05:51:29+00:00,https://www.vk.com/,3g,310,310,310,310,1130,1122,1093,1142,5697,5619,5391,5770,4505,4469,4394,4507,6306,6218,6000,6347,5647,5584,5362,5744,packetLoss,.15%,2,0.46,0,16221.296000000002,0,16371.296000000002,0.01,16221.296000000002,1,0,1,0
0,2021-11-15T05:42:21+00:00,https://www.facebook.com/,3g,258,258,258,258,282,284,281,290,800,2454,760,5801,532,2196,500,5556,2001,3681,1964,7078,792,2445,751,5792,packetLoss,.15%,2,0.79,0.29,3750.654,0.53,3900.654,0.85,3750.654,1,0,1,0.02756183624267578
0,2021-11-15T05:45:13+00:00,https://www.youtube.com/,3g,9305,9296,9274,9310,68,68,67,69,3602,3577,3399,3729,326,340,301,393,5374,5194,4745,5463,3601,3573,3396,3723,packetLoss,.15%,2,0.41,0.16,4427.097000000001,0.02,8359.293000000001,0.48,5905.280835256729,0.5,599.2534999999998,1,0.0167266845703125
0,2021-11-15T05:48:28+00:00,https://www.instagram.com/,3g,323,323,323,323,316,386,284,559,1287,1236,1045,1377,396,472,371,648,2754,2698,2501,2838,1285,1234,1043,1375,packetLoss,.15%,2,0.7,0.89,1852.674,0.01,10029.142999999998,0.98,2410.263328000641,1,0,0.94,0.08203125
0,2021-11-15T07:10:52+00:00,https://www.google.com/,3g,215,215,215,215,388,368,320,395,1140,1088,951,1173,829,768,643,833,1552,1720,1521,2087,1134,1081,944,1165,packetLoss,1.05%,2,0.73,0.88,1860.4759999999997,0.98,1860.4759999999997,0.88,3509.084316714676,0.29,970.0000000000005,0.99,0.04776611328125
0,2021-11-15T07:23:00+00:00,https://www.vk.com/,3g,310,310,310,310,1111,1128,1048,1225,5566,5528,5314,5705,4533,4442,4088,4706,6287,6184,5880,6385,5536,5491,5288,5649,packetLoss,1.05%,2,0.46,0,15993.809000000001,0,16143.809000000001,0.01,15993.809000000001,1,0,1,0
0,2021-11-15T07:13:47+00:00,https://www.facebook.com/,3g,258,258,258,258,267,272,266,282,798,788,766,800,525,523,501,543,1989,2009,1963,2075,789,778,755,791,packetLoss,1.05%,2,0.79,0.29,3750.256,0.53,3900.256,0.85,3750.256,1,0,1,0.02756183624267578
0,2021-11-15T07:16:40+00:00,https://www.youtube.com/,3g,9324,9325,9318,9333,62,66,54,83,3361,3330,3224,3406,283,286,260,316,4761,4829,4714,5012,3359,3329,3222,3405,packetLoss,1.05%,2,0.31,0.15,4556.023,0.02,8743.203,0.42,6293.691407130682,0.19,1260.7200000000003,1,0.006707763671875
0,2021-11-15T07:19:56+00:00,https://www.instagram.com/,3g,323,323,323,323,592,606,308,919,1416,1421,1084,1764,686,697,402,1003,2871,2882,2567,3209,1414,1419,1082,1762,packetLoss,1.05%,2,0.71,0.99,1133.455,0.01,10164.170999999998,0.99,2166.98520600149,1,0,0.94,0.08203125
0,2021-11-15T05:23:09+00:00,https://www.google.com/,3g,215,215,215,215,452,453,443,465,1225,1252,1176,1356,892,890,871,907,1726,2064,1557,2909,1219,1246,1169,1349,packetLoss,0%,2,0.75,0.9,1815.8160000000003,0.98,1815.8160000000003,0.86,3705.1619079336533,0.37,790.6590000000001,0.99,0.04776611328125
