,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,num_http2_responses,num_http3_responses,lighthouse_performance,first-contentful-paint_score,first-contentful-paint_numericValue,largest-contentful-paint_score,largest-contentful-paint_numericValue,speed-index_score,speed-index_numericValue,total-blocking-time_score,total-blocking-time_numericValue,cumulative-layout-shift_score,cumulative-layout-shift_numericValue
0,2021-11-16T13:32:24+00:00,https://www.whatsapp.com/,3g,560,560,560,560,518,532,504,574,1007,1034,975,1119,835,861,811,937,2252,2280,2237,2351,997,1024,966,1110,bandwidth,480Mbps,2,63,0,0.83,0.63,2635.755,0.5,3984.6530000000002,0.97,2635.755,1,0,1,0.013754665798611112
0,2021-11-16T13:40:10+00:00,https://www.glassdoor.com/,3g,1144,1144,1144,1144,1443,1728,1320,2422,6682,6751,6092,7478,1836,2375,1825,3463,8812,9392,8527,10838,6602,6677,6028,7401,bandwidth,480Mbps,2,306,0,0.13,0,8833.154999999999,0,17669.72,0,17550.055347086975,0,16303.962499999998,0.85,0.12043355305989584
0,2021-11-16T13:35:26+00:00,https://www.forbes.com/,3g,1972,1973,1972,1976,116,114,96,130,6104,8189,5501,12962,368,378,349,416,17599,21339,17584,28835,6048,8133,5461,12889,bandwidth,480Mbps,2,531,0,0.4,0.83,2054.585,0.64,3522.6090000000004,0.05,11812.798428517252,0.01,5452.0000000000055,1,0.008027135848999023
0,2021-11-16T13:44:54+00:00,https://www.live.com/,3g,449,449,449,449,332,318,271,352,3028,2969,2844,3036,761,750,691,798,3345,3279,3131,3362,3028,2969,2844,3036,bandwidth,480Mbps,2,165,0,0.35,0.45,3152.391,0.01,9952.559000000001,0.76,4288.123184384077,0.09,1894.000000000001,1,0
0,2021-11-16T13:28:37+00:00,https://www.canva.com/,3g,4254,4254,4254,4254,690,682,633,722,4328,4379,4264,4544,1129,1127,1058,1194,4431,4468,4339,4634,4321,4373,4258,4539,bandwidth,480Mbps,2,381,0,0.48,0.78,2195.9120000000003,0.73,3189.617,0.42,6335.200976596729,0.04,2566.6190000000015,1,0.0009662272135416666
0,2021-11-16T15:19:37+00:00,https://www.whatsapp.com/,3g,560,560,560,560,592,576,515,620,1126,1118,1026,1203,958,930,848,984,2364,2340,2263,2394,1116,1108,1017,1192,bandwidth,800Mbps,2,63,0,0.81,0.62,2648.2160000000003,0.4,4407.060500000001,0.97,2648.2160000000003,1,0,1,0.013754665798611112
0,2021-11-16T15:28:52+00:00,https://www.glassdoor.com/,3g,1144,1144,1144,1144,1421,1500,1385,1693,6527,6525,6447,6600,1807,1881,1747,2089,8760,8778,8653,8922,6438,6443,6372,6518,bandwidth,800Mbps,2,303,0,0.15,0.26,3863.228,0,12085.0885,0.01,15277.006932690054,0,20709,0.85,0.12043355305989584
0,2021-11-16T15:22:49+00:00,https://www.forbes.com/,3g,1977,1977,1977,1977,173,163,139,178,12978,16215,10344,25324,451,437,404,455,17228,25053,17117,40813,12953,16174,10293,25276,bandwidth,800Mbps,2,527,0,0.94,0.98,1313.5919999999996,0.97,1969.2029999999995,0.99,2245.303599952419,0.9,200.5,1,0.007835809919569227
0,2021-11-16T15:33:42+00:00,https://www.live.com/,3g,449,449,449,449,341,360,303,437,3112,3005,2705,3199,747,783,722,879,3450,3330,3019,3522,3112,3005,2705,3198,bandwidth,800Mbps,2,165,0,0.37,0.49,3042.051,0.01,9953.506000000001,0.77,4256.7331228527655,0.14,1519.9999999999995,1,0
0,2021-11-16T15:15:53+00:00,https://www.canva.com/,3g,4254,4254,4254,4254,616,730,599,974,4893,4900,4803,5003,1177,1231,1099,1416,4983,4983,4881,5084,4888,4891,4796,4988,bandwidth,800Mbps,2,381,0,0.49,0.79,2165.7909999999997,0.74,3172.5339999999997,0.49,5878.824138531192,0.03,3059.5529999999985,1,0.0009662272135416666
0,2021-11-16T14:59:09+00:00,https://www.whatsapp.com/,3g,560,560,560,560,552,541,514,558,1094,1081,992,1158,924,916,852,972,2327,2341,2260,2436,1085,1072,983,1149,bandwidth,720Mbps,2,63,0,0.83,0.63,2629.819,0.51,3964.5919999999996,0.97,2629.819,1,0,1,0.013754665798611112
0,2021-11-16T15:07:43+00:00,https://www.glassdoor.com/,3g,1144,1144,1144,1144,1446,1468,1373,1585,6676,6655,6593,6696,1977,2045,1885,2273,8687,8681,8609,8746,6604,6586,6528,6627,bandwidth,720Mbps,2,303,0,0.15,0.22,4101.9580000000005,0,13977.777000000002,0.01,14957.657879540815,0,18849.5,0.83,0.12482076009114583
0,2021-11-16T15:02:10+00:00,https://www.forbes.com/,3g,1977,1976,1974,1977,134,136,131,142,12886,14603,5688,25234,437,425,347,492,17733,26980,17241,45965,12845,14561,5651,25188,bandwidth,720Mbps,2,513,0,0.81,0.67,2520.3165,0.65,3466.4159999999993,0.95,2897.85482574212,0.86,237,1,0.00812390316857232
