,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,num_http2_responses,num_http3_responses,lighthouse_performance_median,lighthouse_performance_mean
0,2021-11-27T02:01:49+00:00,https://www.whatsapp.com/,3g,560,560,560,560,424,426,420,435,760,760,758,761,643,643,642,644,1970,1966,1958,1970,748,750,748,753,delay,600ms,2,65,0,0.81,0.8167
0,2021-11-27T02:05:20+00:00,https://www.glassdoor.com/,3g,1146,1146,1146,1147,1695,1678,1597,1743,10006,8478,4962,10465,2310,2257,2149,2312,15130,12889,7954,15582,9919,8395,4885,10382,delay,600ms,2,305,0,0.17,0.1733
0,2021-11-27T01:52:34+00:00,https://www.vk.com/,3g,310,281,222,310,1280,1222,1091,1295,5213,5260,5132,5434,4261,4283,4193,4394,5991,5835,5351,6163,5191,5245,5132,5411,delay,600ms,2,195,0,0.46,0.46
0,2021-11-27T01:45:25+00:00,https://www.facebook.com/,3g,264,264,264,264,263,262,259,263,693,739,691,834,477,498,476,540,1847,1871,1828,1937,686,732,684,827,delay,600ms,2,129,0,0.78,0.78
0,2021-11-27T01:48:44+00:00,https://www.instagram.com/,3g,323,323,323,323,298,302,289,320,896,923,892,981,359,372,358,398,2362,2372,2339,2416,894,921,891,979,delay,600ms,2,102,0,0.7,0.6867
0,2021-11-27T01:57:04+00:00,https://www.canva.com/,3g,4267,4267,4267,4267,581,598,526,686,3303,2899,1903,3491,877,893,838,964,3546,3494,3350,3586,3295,2889,1900,3472,delay,600ms,2,360,0,0.49,0.4933
0,2021-11-27T01:36:35+00:00,https://www.whatsapp.com/,3g,560,560,560,560,405,410,404,421,749,781,746,847,610,616,609,629,1970,1999,1956,2070,742,773,738,839,delay,400ms,2,63,0,0.81,0.81
0,2021-11-27T01:39:53+00:00,https://www.glassdoor.com/,3g,1146,1146,1146,1147,2060,1953,1031,2767,5158,5136,4101,6148,2295,2189,1263,3010,8139,8044,7140,8852,5082,5066,4044,6072,delay,400ms,2,307,0,0.17,0.17
0,2021-11-27T01:27:30+00:00,https://www.vk.com/,3g,310,281,222,310,1064,1073,1040,1116,4684,4694,4633,4764,3719,3739,3643,3855,5189,5141,4985,5250,4661,4679,4611,4764,delay,400ms,2,195,0,0.46,0.46
0,2021-11-27T01:20:30+00:00,https://www.facebook.com/,3g,264,264,264,264,273,276,272,284,716,715,704,725,478,487,475,509,1876,1923,1864,2029,709,709,698,719,delay,400ms,2,129,0,0.78,0.78
